Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Approximate Volume Released (m3),Substance,SubstanceCategory,Release Type,Year,What Happened?,Why it Happened?,Pipeline Phase,Were Pipeline System Components Involved?,Pipeline System Components Involved
INC2010-033,Release of Substance,12-03-2010,Not specified,Alberta,NOVA Gas Transmission Ltd.,Closed,52.75419,-114.11969,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2010,Cracking ,Maintenance,Operation,,
INC2010-034,Release of Substance,16-03-2010,Oakville,Ontario,Trans-Northern Pipelines Inc.,Closed,43.406148,-79.735605,No,No,Yes,Yes,90,Gasoline,Low Vapour Pressure Product,Liquid,2010,Cracking ,Engineering and Planning,Operation,,
INC2010-040,Fire,26-03-2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54756,-113.35559,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2010,Equipment Failure,"Leadership and Communication, Standards and Procedures",Construction,,
INC2010-041,Fire,27-03-2010,Manning,Alberta,NOVA Gas Transmission Ltd.,Closed,57.19166,-118.1942,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2010,Material Defect,Maintenance,Operation,,
INC2010-042,Release of Substance,12-04-2010,Caronport,Saskatchewan,TransCanada PipeLines Limited,Closed,50.48051,-105.86728,Yes,No,No,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2010,Material Defect,Maintenance,Operation,,
INC2010-044,Release of Substance,21-04-2010,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56882,-121.94466,No,No,No,No,Not Provided,Mixed HVP Hydrocarbons,High Vapour Pressure Product,Gas,2010,Equipment Failure,Standards and Procedures,Operation,,
INC2010-045,Release of Substance,21-04-2010,Ancaster,Ontario,TransCanada PipeLines Limited,Closed,43.18849,-79.8485,Yes,No,No,No,100,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2010,Equipment Failure,Maintenance,Operation,,
INC2010-047,Release of Substance,05-05-2010,Not specified,Ontario,TransCanada PipeLines Limited,Closed,48.64904,-80.69866,No,No,Yes,No,Not Provided,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2010,Cracking ,"Engineering and Planning, Maintenance",Maintenance,,
INC2010-048,Fire,05-05-2010,Cobourg,Ontario,TransCanada PipeLines Limited,Closed,44.04719,-78.00847,No,No,Yes,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2010,Operating Conditions,"Maintenance, Standards and Procedures, Tools and Equipment",maintenance,,
INC2010-050,Fire,11-05-2010,Sundre,Alberta,NOVA Gas Transmission Ltd.,Closed,51.943585,-114.736419,Yes,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2010,"Incorrect Operation, Other Causes",Engineering and Planning,Maintenance,,
INC2010-051,Release of Substance,22-05-2010,Manning,Alberta,NOVA Gas Transmission Ltd.,Closed,57.19361,-118.20534,Yes,No,No,No,1,Natural Gas - Sweet,High Vapour Pressure Product,Gas,2010,Equipment Failure,Maintenance,Operation,,
INC2010-052,Release of Substance,25-05-2010,Brandon,Manitoba,Spectra Energy Empress Management Inc. as General Partner and Agent for Spectra Energy Empress L.P.,Submitted,50.04165,-99.66005,No,No,Yes,No,Not Provided,Propane,High Vapour Pressure Product,Gas,2010,Material Defect,Maintenance,Maintenance,,
